,word,count
5415,job,140463
10756, ,87571
7596,profile,84883
3031,description,75494
2388,company,72167
3808,experience,70336
8770,service,70033
9084,specialization,65892
8080,require,63630
1907,candidate,58736
5049,industry,55685
3247,doctorate,51965
9013,software,49051
5743,like,48124
3053,detail,47561
96,1,47077
8548,sale,46826
8248,role,46332
1830,business,46284
1197,area,45968
10587,work,45853
3071,development,44746
8926,skill,44454
3429,education,43799
2565,contact,43739
4228,functional,42983
3046,desire,42605
8740,send,42032
3036,design,41241
10280,view,40144
5944,management,39907
7247,photo,39186
3290,download,39049
7430,ppt,38907
9981,ug,35709
9541,team,35524
2250,client,35094
2831,customer,31979
7317,please,31903
8543,salary,31821
9580,technology,29533
4403,graduate,29288
5549,knowledge,29130
6007,market,28748
5520,keyskills,28714
9030,solution,28568
10700,year,28540
7951,refer,27910
7926,recruiter,27664
1140,application,27350
7576,product,27257
3173,disclose,26240
3248,doctorateany,26075
4379,good,25988
5017,india,23933
7564,process,23679
7617,project,23405
5664,lead,23310
3587,engineer,23028
2381,communication,22507
5862,ltd,21906
9841,train,21315
7666,provide,21013
5949,manager,20712
4409,graduation,20711
7606,program,20103
9375,support,18838
9458,system,18314
7719,pvt,17728
9563,technical,17371
9645,test,16759
9282,strong,16756
7399,postgraduate,16304
6101,medical,15957
2874,data,15928
7296,plan,15734
7203,pgany,15708
3067,develop,15595
10014,understand,15363
5337,itsoftware,15261
676,ability,15247
5924,maintenance,15239
6562,new,15141
8084,requirement,14941
3614,ensure,14613
6842,operation,14227
7746,quality,13590
3070,developer,13540
1479,base,13458
1725,bpo,13414
4984,include,13065
1819,build,12910
5941,manage,12799
7927,recruitment,12485
10436,web,12374
8062,report,12321
5807,location,12305
10129,use,12257
8545,salaryinr,12069
1885,call,12064
3757,excellent,12057
9969,u,11951
3704,etc,11853
723,account,11764
6436,must,11762
7397,post,11642
10620,write,11639
6518,need,11194
9742,time,11142
1459,bank,11039
5703,level,10871
6989,pa,10865
1805,btechbe,10684
6553,network,10674
4005,financial,10669
2028,categoryprogramming,10414
8148,retail,10315
1571,best,10277
260,2,10217
4706,hr,9836
9787,tool,9764
6800,one,9741
